VI;Aanwijzing van gronden, Wet Voorkeursrecht gemeenten
VV;Voorstel tot aanwijzing van gronden, Wet voorkeursrecht gemeenten
WI;Sluiting gebouw, open erf of terrein, Woningwet
WV;Plicht tot het treffen van voorzieningen, Woningwet
WE;Plicht tot het treffen van voorzieningen ten behoeve van eisen van welstand, Woningwet
WG;Plicht tot beheer of gebruik door derden, Woningwet
WU;Bestuursdwangbesluit of dwangsombesluit, Woningwet
HV;Vordering tot woonruimte, Huisvestingswet
HS;Huisvestingsverordening, splitsingsvergunningstelsel, Huisvestingswet
GS;Sluiting van woning, lokaal of bijbehorend erf, Gemeentewet
GB;Besluit tot heffen van baatbelasting, Gemeentewet
GU;Besluit tot heffen van bouwgrondbelasting, Gemeentewet
GG;Beschermd monument, Gemeentewet
WA;Aanschrijving, Woningwet
OS;Sluiting object, Opiumwet
WS;Besluit of bevel, Waterstaatswet 1900
KW;Melding, bevel, beschikking of vordering Wet bodembescherming
EP;Exploitatieplan, Wet ruimtelijke ordening
WT;Waterwet, bevel of gedoogplicht
OH;Wet algemene bepalingen omgevingsrecht
