sleutelVerzendend;L_BAG-sleutel;indauthentiek
03630000087815;0363200000087815;J
03630000105099;0363200000105099;J
03630000101390;0363200000101390;J
03630000105581;0363200000105581;J
03630000174723;0363200000174723;J
03630000177712;0363200000177712;J
03630000388855;0363200000388855;J
03630000385837;0363200000385837;J
03630000405708;0363200000405708;J
03630000409534;0363200000409534;J
03630000432249;0363200000432249;J
03630000436221;0363200000436221;J
03630000430301;0363200000430301;J
03630000512845;0363200000512845;J
03630000511044;0363200000511044;J
03630000500214;0363200000500214;J
03630000500227;0363200000500227;J
03630000520681;0363200000520681;J
03630000520704;0363200000520704;J
03630000520705;0363200000520705;J
03630003688145;0363200003688145;J
03630000541673;0363200000541673;J
03630000102713;0363200000102713;J
03630000177818;0363200000177818;J
03630000176490;0363200000176490;J
03630000181936;0363200000181936;J
03630000399533;0363200000399533;J
03630000436987;0363200000436987;J
03630000439107;0363200000439107;J
03630000439113;0363200000439113;J
03630000473030;0363200000473030;J
03630000463081;0363200000463081;J
03630000449179;0363200000449179;J
03630000479996;0363200000479996;J
03630000513079;0363200000513079;J
03630000513436;0363200000513436;J
03630000513446;0363200000513446;J
03630000512219;0363200000512219;J
03630000500230;0363200000500230;J
03630000520671;0363200000520671;J
03630000520723;0363200000520723;J
03630003683044;0363200003683044;J
03630002004731;0363200002004731;J
03630003701933;0363200003701933;J
03630022876520;0363200012084709;J
03630000516795;0363200000516795;J
03630000102716;0363200000102716;J
03630000102717;0363200000102717;J
03630000180774;0363200000180774;J
03630000293919;0363200000293919;J
03630000389037;0363200000389037;J
03630000385825;0363200000385825;J
03630000389049;0363200000389049;J
03630000423551;0363200000423551;J
03630000403586;0363200000403586;J
03630000436412;0363200000436412;J
03630000425620;0363200000425620;J
03630000473028;0363200000473028;J
03630000479994;0363200000479994;J
03630000483397;0363200000483397;J
03630000513362;0363200000513362;J
03630000513439;0363200000513439;J
03630000512333;0363200000512333;J
03630000512107;0363200000512107;J
03630000500223;0363200000500223;J
03630000520673;0363200000520673;J
03630000520694;0363200000520694;J
03630000520721;0363200000520721;J
03630003683038;0363200003683038;J
03630003701925;0363200003701925;J
03630003701995;0363200003701995;J
03630022377422;0363200012076831;J
03630000145971;0363200000145971;J
03630000174053;0363200000174053;J
03630000177750;0363200000177750;J
03630000177067;0363200000177067;J
03630000182772;0363200000182772;J
03630000295798;0363200000295798;J
03630000294416;0363200000294416;J
03630000398605;0363200000398605;J
03630000388859;0363200000388859;J
03630000388861;0363200000388861;J
03630000388759;0363200000388759;J
03630000389042;0363200000389042;J
03630000389045;0363200000389045;J
03630000473031;0363200000473031;J
03630000463073;0363200000463073;J
03630000483468;0363200000483468;J
03630000513505;0363200000513505;J
03630000511048;0363200000511048;J
03630000511041;0363200000511041;J
03630000500200;0363200000500200;J
03630000500220;0363200000500220;J
03630000500210;0363200000500210;J
03630000500235;0363200000500235;J
03630000520707;0363200000520707;J
03630003683043;0363200003683043;J
03630021495738;0363200012069356;J
03630023027737;0363200012086541;J
03630000368506;0363200000368506;J
03630000101433;0363200000101433;J
03630000102712;0363200000102712;J
03630000101648;0363200000101648;J
03630000108514;0363200000108514;J
03630000140035;0363200000140035;J
03630000177759;0363200000177759;J
03630000174810;0363200000174810;J
03630000176870;0363200000176870;J
03630000184097;0363200000184097;J
03630000393971;0363200000393971;J
03630000388760;0363200000388760;J
03630000419441;0363200000419441;J
03630000426129;0363200000426129;J
03630000480002;0363200000480002;J
03630000513350;0363200000513350;J
03630000513448;0363200000513448;J
03630000500226;0363200000500226;J
03630003701911;0363200003701911;J
03630003683045;0363200003683045;J
03630003701945;0363200003701945;J
03630011266285;0363200011266285;J
03630013635971;0363200012068560;J
03630022379553;0363200012076872;J
03630000085692;0363200000085692;J
03630000177071;0363200000177071;J
03630000180777;0363200000180777;J
03630000180806;0363200000180806;J
03630000410160;0363200000410160;J
03630000398884;0363200000398884;J
03630000409550;0363200000409550;J
03630000438028;0363200000438028;J
03630000434965;0363200000434965;J
03630000426132;0363200000426132;J
03630000453069;0363200000453069;J
03630000453282;0363200000453282;J
03630000480777;0363200000480777;J
03630000513359;0363200000513359;J
03630000513444;0363200000513444;J
03630000513324;0363200000513324;J
03630000512097;0363200000512097;J
03630000500194;0363200000500194;J
03630000525581;0363200000525581;J
03630000520711;0363200000520711;J
03630003701957;0363200003701957;J
03630000088291;0363200000088291;J
