sleutelVerzendend;L_BAG-sleutel;indauthentiek
03630001002936;0363030001002936;J
03630001002937;0363030001002937;J
03630001003699;0363030001003699;J
03630001012508;0363030001012508;J
03630001012509;0363030001012509;J
03630001018898;0363030001018898;J
03630001018936;0363030001018936;J
03630001018945;0363030001018945;J
03630013344232;0363030011957691;J
03630001018961;0363030001018961;J
03630001018916;0363030001018916;J
03630001018932;0363030001018932;J
03630000717720;0363030000717720;J
03630000717733;0363030000717733;J
03630000721653;0363030000721653;J
03630000721683;0363030000721683;J
03630000735978;0363030000735978;J
03630000691690;0363030000691690;J
03630000999590;0363030000999590;J
03630000999592;0363030000999592;J
03630001000201;0363030001000201;J
03630000999755;0363030000999755;J
03630000999763;0363030000999763;J
03630000927445;0363030000927445;J
03630000930863;0363030000930863;J
03630001955581;0363030001955581;J
03630013138822;0363030011957687;J
03630021977607;0363030011957700;J
03630011266474;0363030011266474;J
03630023093060;0363030011957746;J
03630000911197;0363030000911197;J
03630022377433;0363030011957719;J
03630022379587;0363030011957720;J
03630022876601;0363030011957740;J
03630001018908;0363030001018908;J
03630001012162;0363030001012162;J
03630001012164;0363030001012164;J
03630001012171;0363030001012171;J
03630001012490;0363030001012490;J
03630001012506;0363030001012506;J
03630001017486;0363030001017486;J
03630001017492;0363030001017492;J
03630001017494;0363030001017494;J
03630001018904;0363030001018904;J
03630001018942;0363030001018942;J
03630001018948;0363030001018948;J
03630001018949;0363030001018949;J
03630001018953;0363030001018953;J
03630001018978;0363030001018978;J
03630001018922;0363030001018922;J
