BRK_ATG_ID;ATG_AARDAANTEKENING_CODE;ATG_AARDAANTEKENING_OMS;ATG_OMSCHRIJVING;ATG_EINDDATUM;BRK_SDL_ID;ATG_TYPE;BRK_KOT_ID;KOT_KADASTRALEGEMCODE_CODE;KOT_SECTIE;KOT_PERCEELNUMMER;KOT_INDEX_LETTER;KOT_INDEX_NUMMER;BRK_TNG_ID;ZRT_AARD_ZAKELIJKRECHT_CODE;ZRT_AARD_ZAKELIJKRECHT_OMS;BRK_SJT_ID
NL.KAD.Aantekening.AKR1.100000007082195;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000005195691;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070185210026;Sloten Noord-Holland;I;1852;A;26;;;;
NL.KAD.Aantekening.AKR1.100000008283575;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000006614886;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14050599810117;Sloten Noord-Holland;G;5998;A;117;;;;
NL.KAD.Aantekening.AKR1.100000004538055;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000003909777;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14050493770000;Sloten Noord-Holland;G;4937;G;0;;;;
NL.KAD.Aantekening.AKR1.100000008545828;67;Kwalitatieve verplichting;;;NL.KAD.Stukdeel.AKR1.100000007079271;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14050601510171;Sloten Noord-Holland;G;6015;A;171;;;;
NL.KAD.Aantekening.AKR1.303343;67;Kwalitatieve verplichting;;;NL.KAD.Stukdeel.AKR1.2640228;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070389410001;Sloten Noord-Holland;I;3894;A;1;;;;
NL.KAD.Aantekening.AKR1.100000004539928;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000003909783;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070346570000;Sloten Noord-Holland;I;3465;G;0;;;;
NL.KAD.Aantekening.AKR1.100000006338820;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000004948707;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070485110020;Sloten Noord-Holland;I;4851;A;20;;;;
NL.KAD.Aantekening.AKR1.100000004543248;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000003912156;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070547270000;Sloten Noord-Holland;I;5472;G;0;;;;
NL.KAD.Aantekening.AKR1.100000006690257;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000005085279;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14080294010010;Sloten Noord-Holland;K;2940;A;10;;;;
NL.KAD.Aantekening.AKR1.100000007122681;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000005204055;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14090322610163;Sloten Noord-Holland;L;3226;A;163;;;;
