BRK_KOT_ID;KOT_AKRKADGEMEENTECODE_CODE;KOT_AKRKADGEMEENTECODE_OMS;KOT_SECTIE;KOT_PERCEELNUMMER;KOT_INDEX_LETTER;KOT_INDEX_NUMMER;KOT_STATUS_CODE;KOT_MODIFICATION;BAG_VOT_ID;DIVA_VOT_ID;AOT_OPENBARERUIMTENAAM;AOT_HUISNUMMER;AOT_HUISLETTER;AOT_HUISNUMMERTOEVOEGING;AOT_POSTCODE;AOT_WOONPLAATSNAAM;BRON_RELATIE
NL.KAD.OnroerendeZaak.11730205570000;71;ASD31;AL;2055;G;0;B;;0363010000740386;3630000740386;Loenermark;777;;;1025VM;Amsterdam;BRK
NL.KAD.OnroerendeZaak.11560975410004;55;ASD15;S;9754;A;4;B;;0363010000776434;3630000776434;Pieter Vlamingstraat;24;;3;1093AD;Amsterdam;BRK
NL.KAD.OnroerendeZaak.11460195870000;45;ASD05;G;1958;G;0;B;;0363010001172714;3630001172714;Geldersekade;84;A;;1012BL;Amsterdam;ADAM
NL.KAD.OnroerendeZaak.11460195870000;45;ASD05;G;1958;G;0;B;;0363010001172715;3630001172715;Geldersekade;84;B;;1012BL;Amsterdam;ADAM
NL.KAD.OnroerendeZaak.11430756410009;42;ASD02;A;7564;A;9;B;;0363010000984377;3630000984377;Keesje Brijdeplantsoen;12;;;1019TG;Amsterdam;BRK
NL.KAD.OnroerendeZaak.14431083770000;1192;WPK02;L;10837;G;0;B;;0363010003780174;3630003780174;Kouwenoordweg;37;A;;1104HL;Amsterdam;BRK
NL.KAD.OnroerendeZaak.11560907410012;55;ASD15;S;9074;A;12;B;;0363010001001450;3630001001450;Swammerdamstraat;56;B;;1091RW;Amsterdam;BRK
NL.KAD.OnroerendeZaak.11471024710012;46;ASD06;I;10247;A;12;B;;0363010000566746;3630000566746;Amstel;132;A;;1017AD;Amsterdam;BRK
NL.KAD.OnroerendeZaak.14100201410001;1020;STN02;M;2014;A;1;B;;0363010000572909;3630000572909;Arubastraat;1;;;1058VD;Amsterdam;BRK
NL.KAD.OnroerendeZaak.11560827610001;55;ASD15;S;8276;A;1;B;;0363010000543962;3630000543962;Eerste Boerhaavestraat;5;;H;1091RZ;Amsterdam;BRK
NL.KAD.OnroerendeZaak.11560827610002;55;ASD15;S;8276;A;2;B;;0363010000543962;3630000543962;Eerste Boerhaavestraat;5;;H;1091RZ;Amsterdam;BRK
