BRK_SDL_ID;SDL_AARD_STUKDEEL_CODE;SDL_AARD_STUKDEEL_OMS;SDL_KOOPSOM;SDL_KOOPSOM_VALUTA;BRK_STK_ID;STK_AKR_PORTEFEUILLENR;STK_TIJDSTIP_AANBIEDING;STK_REEKS_CODE;STK_VOLGNUMMER;STK_REGISTERCODE_CODE;STK_REGISTERCODE_OMS;STK_SOORTREGISTER_CODE;STK_SOORTREGISTER_OMS;STK_DEEL_SOORT;BRK_TNG_ID;BRK_ATG_ID;BRK_ASG_VVE
NL.KAD.Stukdeel.AKR1.100000006771990;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20131209001552;;20131209121900;;158;2;Hyp4;2;Onroerende Zaken;63628;;;
NL.KAD.Stukdeel.AKR1.100000002507567;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20101103001702;;20101103123500;;133;2;Hyp4;2;Onroerende Zaken;59059;;;
NL.KAD.Stukdeel.AKR1.100000006799985;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20131218000117;;20131218090000;;130;2;Hyp4;2;Onroerende Zaken;63706;;;
NL.KAD.Stukdeel.AKR1.100000006800105;063;Stuk aanbrengen beperkende bepaling op zakelijk recht overig;;;NL.KAD.TIAStuk.20131218000117;;20131218090000;;130;2;Hyp4;2;Onroerende Zaken;63706;;;
NL.KAD.Stukdeel.AKR1.100000006800106;014;Akte van Vestiging Erfdienstbaarheden;;;NL.KAD.TIAStuk.20131218000117;;20131218090000;;130;2;Hyp4;2;Onroerende Zaken;63706;;;
NL.KAD.Stukdeel.AKR1.100000007267020;003;Akte van Scheiding onverdeeldheid;;;NL.KAD.TIAStuk.20140516002305;;20140516133100;;12;2;Hyp4;2;Onroerende Zaken;64355;;;
NL.KAD.Stukdeel.AKR1.100000007267026;003;Akte van Scheiding onverdeeldheid;;;NL.KAD.TIAStuk.20140516002305;;20140516133100;;12;2;Hyp4;2;Onroerende Zaken;64355;;;
NL.KAD.Stukdeel.AKR1.100000007267027;064;Stuk doorhaling beperkende bepaling op zak. recht overig (géén overboeking);;;NL.KAD.TIAStuk.20140516002305;;20140516133100;;12;2;Hyp4;2;Onroerende Zaken;64355;;;
NL.KAD.Stukdeel.AKR1.100000008525107;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20150501005257;;20150501134300;;9;2;Hyp4;2;Onroerende Zaken;66111;;;
NL.KAD.Stukdeel.AKR1.100000008124837;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20150108000667;;20150108105500;;119;2;Hyp4;2;Onroerende Zaken;65554;;;
NL.KAD.Stukdeel.AKR1.100000006086973;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20130315001708;;20130315124400;;192;2;Hyp4;2;Onroerende Zaken;62675;;;
NL.KAD.Stukdeel.AKR1.100000006736546;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20131128001705;;20131128143100;;173;2;Hyp4;2;Onroerende Zaken;63596;;;
NL.KAD.Stukdeel.AKR1.100000006736623;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20131128001705;;20131128143100;;173;2;Hyp4;2;Onroerende Zaken;63596;;;
NL.KAD.Stukdeel.AKR1.100000002669945;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20101216003714;;20101216142900;;198;2;Hyp4;2;Onroerende Zaken;59258;;;
NL.KAD.Stukdeel.AKR1.100000003263823;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20110516001574;;20110516112800;;194;2;Hyp4;2;Onroerende Zaken;59952;;;
NL.KAD.Stukdeel.AKR1.100000007785835;210;Stuk aanbrengen koop, zie art. 7:3 BW;;;NL.KAD.TIAStuk.20141029000705;;20141029101900;;178;2;Hyp4;2;Onroerende Zaken;65093;;;
NL.KAD.Stukdeel.AKR1.100000001887479;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20100506002425;;20100506142500;;50;2;Hyp4;2;Onroerende Zaken;58266;;;
NL.KAD.Stukdeel.AKR1.100000004244791;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20111125001018;;20111125120400;;112;2;Hyp4;2;Onroerende Zaken;60774;;;
NL.KAD.Stukdeel.AKR1.100000006998591;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20140213000143;;20140213090000;;107;2;Hyp4;2;Onroerende Zaken;63956;;;
NL.KAD.Stukdeel.AKR1.100000006998593;146;Stuk welk niet c.q. nog niet toepasbaar is;;;NL.KAD.TIAStuk.20140213000143;;20140213090000;;107;2;Hyp4;2;Onroerende Zaken;63956;;;
NL.KAD.Stukdeel.AKR1.100000006998724;402;Niet toepassing;;;NL.KAD.TIAStuk.20140213000143;;20140213090000;;107;2;Hyp4;2;Onroerende Zaken;63956;;;
NL.KAD.Stukdeel.AKR1.100000006998725;402;Niet toepassing;;;NL.KAD.TIAStuk.20140213000143;;20140213090000;;107;2;Hyp4;2;Onroerende Zaken;63956;;;
NL.KAD.Stukdeel.AKR1.100000003277735;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20110519000675;;20110519090000;;26;2;Hyp4;2;Onroerende Zaken;59975;;;
NL.KAD.Stukdeel.AKR1.100000001887468;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20100506002423;;20100506142500;;49;2;Hyp4;2;Onroerende Zaken;58266;;;
NL.KAD.Stukdeel.AKR1.100000001887470;001;Akte van Koop en Verkoop;;;NL.KAD.TIAStuk.20100506002423;;20100506142500;;49;2;Hyp4;2;Onroerende Zaken;58266;;;
