sleutelVerzendend;L_BAG-sleutel;indauthentiek
03630000004114;0363300000000874;J
03630000004129;0363300000000875;J
03630000004137;0363300000000876;J
03630000005183;0363300000000877;J
03630000003311;0363300000000878;J
03630000002701;0363300000000879;J
03630000002804;0363300000000880;J
03630003682812;0363300000000881;J
03630000004269;0363300000000882;J
03630000003876;0363300000000883;J
03630000004148;0363300000000884;J
03630000004669;0363300000000885;J
03630000003261;0363300000000886;J
03630000003575;0363300000000887;J
03630000003796;0363300000000888;J
03630000003666;0363300000000889;J
03630000001493;0363300000000890;J
03630000001197;0363300000000891;J
03630000001293;0363300000000892;J
03630000005679;0363300000000893;J
03630000001319;0363300000000894;J
03630000003404;0363300000000895;J
03630000001525;0363300000000896;J
03630000003887;0363300000000897;J
03630000003910;0363300000000898;J
03630000004058;0363300000000899;J
03630000004063;0363300000000900;J
03630000004102;0363300000000901;J
03630000004153;0363300000000902;J
03630000004537;0363300000000903;J
03630000003266;0363300000000904;J
03630000003689;0363300000000905;J
03630000003699;0363300000000906;J
03630000002718;0363300000000907;J
03630000001526;0363300000000908;J
03630000002916;0363300000000909;J
03630000005329;0363300000000910;J
03630000005936;0363300000000911;J
03630000004526;0363300000000912;J
03630000005188;0363300000000913;J
03630000005205;0363300000000914;J
03630000001172;0363300000000915;J
03630000001094;0363300000000916;J
03630000003253;0363300000000917;J
03630000004082;0363300000000918;J
03630000004087;0363300000000919;J
03630000004125;0363300000000920;J
03630000004147;0363300000000921;J
03630000004166;0363300000000922;J
03630000004739;0363300000000923;J
03630000004750;0363300000000924;J
03630000003300;0363300000000925;J
03630000003658;0363300000000926;J
03630000003713;0363300000000927;J
03630000002630;0363300000000928;J
03630000006021;0363300000000929;J
03630000004150;0363300000000930;J
03630000004270;0363300000000931;J
03630000004071;0363300000000932;J
03630000004115;0363300000000933;J
03630000004171;0363300000000934;J
03630000005184;0363300000000935;J
03630000005192;0363300000000936;J
03630000004893;0363300000000937;J
03630000003293;0363300000000938;J
03630000003688;0363300000000939;J
03630000002910;0363300000000940;J
03630000001092;0363300000000941;J
03630000002092;0363300000000942;J
03630000003039;0363300000000943;J
03630011004863;0363300000000944;J
03630000002786;0363300000000945;J
03630000005698;0363300000000946;J
03630000004105;0363300000000947;J
03630000004190;0363300000000948;J
03630000003264;0363300000000949;J
03630000003782;0363300000000950;J
03630000003484;0363300000000951;J
03630000002905;0363300000000952;J
03630000002935;0363300000000953;J
03630000003032;0363300000000954;J
03630000003195;0363300000000955;J
03630000004574;0363300000000956;J
03630000004580;0363300000000957;J
03630000003984;0363300000000958;J
03630000004076;0363300000000959;J
03630000004159;0363300000000960;J
03630000004165;0363300000000961;J
03630000004179;0363300000000962;J
03630000004477;0363300000000963;J
03630000005028;0363300000000964;J
03630000002906;0363300000000965;J
03630000001721;0363300000000966;J
03630000004730;0363300000004730;J
03630000005388;0363300000005388;J
03630000005856;0363300000005856;J
