sleutelVerzendend;L_BAG-sleutel;indauthentiek
03630013002931;0363100012073178;J
03630013121993;0363100012141172;J
03630013033998;0363100012145299;J
03630013078514;0363100012149784;J
03630013003352;0363100012074866;J
03630013117384;0363100012100258;J
03630012984054;0363100012101403;J
03630013053637;0363100012124796;J
03630012972637;0363100012183052;J
03630012971743;0363100012178019;J
03630012965185;0363100012127650;J
03630012957814;0363100012068981;J
03630012957907;0363100012063881;J
03630012957682;0363100012065646;J
03630012977654;0363100012071832;J
03630013047290;0363100012073607;J
03630013026568;0363100012082996;J
03630013027573;0363100012090844;J
03630012982918;0363100012092314;J
03630013074124;0363100012109861;J
03630012968064;0363100012148017;J
03630012968821;0363100012153533;J
03630013081406;0363100012167874;J
03630013015496;0363100012174620;J
03630013126316;0363100012174899;J
03630013102945;0363100012165203;J
03630013038053;0363100012176966;J
03630013015246;0363100012172284;J
03630013133298;0363100012123727;J
03630012958298;0363100012071245;J
03630012970217;0363100012168325;J
03630012994277;0363100012186193;J
03630013046916;0363100012067155;J
03630013002999;0363100012072551;J
03630013096915;0363100012117411;J
03630013100298;0363100012140257;J
03630013103858;0363100012173390;J
03630013082000;0363100012174621;J
03630013035601;0363100012161009;J
03630013038720;0363100012182989;J
03630013068598;0363100012064835;J
03630013118012;0363100012108855;J
03630013053751;0363100012128466;J
03630013054599;0363100012128567;J
03630013081668;0363100012171306;J
03630013113460;0363100012066832;J
03630013009806;0363100012128266;J
03630013069186;0363100012070927;J
03630013096166;0363100012107097;J
03630012963152;0363100012110530;J
03630012986483;0363100012119034;J
03630012965360;0363100012129926;J
03630013010461;0363100012131376;J
03630012966738;0363100012141048;J
03630013078501;0363100012144627;J
03630012972091;0363100012179685;J
03630012993311;0363100012180934;J
03630012993300;0363100012180935;J
03630013036326;0363100012165609;J
03630012994127;0363100012182014;J
03630013090521;0363100012064924;J
03630012959242;0363100012077314;J
03630013133148;0363100012076998;J
03630012989157;0363100012140103;J
03630013012291;0363100012149514;J
03630013133151;0363100012174438;J
03630013014427;0363100012168689;J
03630012970455;0363100012171404;J
03630013014277;0363100012162595;J
03630013112567;0363100012062579;J
03630013090829;0363100012064954;J
03630013092531;0363100012079037;J
03630013074858;0363100012120064;J
03630013032294;0363100012132605;J
03630013099299;0363100012136029;J
03630013078749;0363100012147698;J
03630013014793;0363100012169423;J
03630013044276;0363100012098401;J
03630013056293;0363100012148692;J
