identificatie;orgaanCode;documentnummer;persoonsgegevensAfschermen;aard
615;;MB00000361_WK00WK.pdf;N;Opleggen
31;;MB00000023_WK00WK.pdf;N;Opleggen
1156;;MB00000667_WK00WK.pdf;N;Opleggen
6180;5;SK00000241_WK00WK.pdf;N;Opleggen
6188;2;MB00003063_WK00WK.pdf;N;Opleggen
6257;5;SM00000180_WK00WK.pdf;N;Opleggen
1607;;DW00000002_WK00WK.pdf;N;Opleggen
1608;;DW00000003_WK00WK.pdf;N;Opleggen
1609;;DW00000004_WK00WK.pdf;N;Opleggen
1878;;SW00000020_WK00WK.pdf;N;Opleggen
3104;2;MB00001590_WK00WK.pdf;N;Opleggen
4425;2;MB00002466_WK00WK.pdf;N;Opleggen
4197;2;MB00002339_WK00WK.pdf;N;Opleggen
4678;2;MB00002571_WK00WK.pdf;N;Opleggen
5482;2;MB00002935_WK00WK.pdf;N;Opleggen
6652;2;DW00000141_WK00WK.pdf;N;Beëindigen
6666;6;SA00001691_WK00WK.pdf;N;Beëindigen
6649;2;DW00000138_WK00WK.pdf;N;Beëindigen
6648;2;DW00000137_WK00WK.pdf;N;Beëindigen
6671;6;SA00001695_WK00WK.pdf;N;Beëindigen
6669;6;SA00001693_WK00WK.pdf;N;Beëindigen
6670;6;SA00001694_WK00WK.pdf;N;Beëindigen
6667;6;SA00001692_WK00WK.pdf;N;Opleggen
6642;6;SA00001684_WK00WK.pdf;N;Opleggen
6643;5;SA00001686_WK00WK.pdf;N;Opleggen
6662;6;SE00000262_WK00WK.pdf;N;Beëindigen
6665;6;SN00000039_WK00WK.pdf;N;Opleggen
6646;6;SA00001687_WK00WK.pdf;N;Opleggen
6645;6;SA00001688_WK00WK.pdf;N;Opleggen
6647;6;SA00001689_WK00WK.pdf;N;Opleggen
6664;6;SA00001690_WK00WK.pdf;N;Opleggen
6656;2;DW00000145_WK00WK.pdf;N;Beëindigen
6655;2;DW00000144_WK00WK.pdf;N;Beëindigen
6654;2;DW00000143_WK00WK.pdf;N;Beëindigen
6653;2;DW00000142_WK00WK.pdf;N;Beëindigen
6661;2;MB00003146_WK00WK.pdf;N;Opleggen
6658;2;MB00002339_WK01WK.pdf;N;Opleggen
6660;2;MB00002466_WK01WK.pdf;N;Opleggen
6650;2;DW00000140_WK00WK.pdf;N;Beëindigen
6651;2;DW00000139_WK00WK.pdf;N;Beëindigen
6668;3;BD00000150_WK00WK.pdf;N;Opleggen
6672;6;SK00000314_WK00WK.pdf;N;Opleggen
6641;3;BD00000149_WK00WK.pdf;N;Opleggen
6641;3;BD00000149_WK00WK.pdf;N;Opleggen
6663;6;SE00000227_WK00WK.pdf;N;Opleggen
6644;6;SA00001685_WK00WK.pdf;N;Opleggen
5935;2;MB00003016_WK00WK.pdf;N;Opleggen
5999;5;SA00001518_WK00WK.pdf;N;Opleggen
6040;2;MB00001273_WK02WK.pdf;N;Opleggen
