typeCode;typeOmschrijving
EP;Exploitatieplan, Wet ruimtelijke ordening
GG;Beschermd monument, Gemeentewet
GS;Sluiting van woning, lokaal of bijbehorend erf, Gemeentewet
HS;Huisvestingsverordening, splitsingsvergunningstelsel, Huisvestingswet
HV;Vordering tot woonruimte, Huisvestingswet
KW;Melding, bevel, beschikking of vordering Wet bodembescherming
OH;Wet algemene bepalingen omgevingsrecht
OS;Sluiting object, Opiumwet
VI;Aanwijzing van gronden, Wet Voorkeursrecht gemeenten
VV;Voorstel tot aanwijzing van gronden, Wet voorkeursrecht gemeenten
WA;Aanschrijving, Woningwet
WE;Plicht tot het treffen van voorzieningen ten behoeve van eisen van welstand, Woningwet
WG;Plicht tot beheer of gebruik door derden, Woningwet
WI;Sluiting gebouw, open erf of terrein, Woningwet
WU;Bestuursdwangbesluit of dwangsombesluit, Woningwet
WV;Plicht tot het treffen van voorzieningen, Woningwet
